start_line,end_line,line_count,domain,section_name
151,195,44,engine_boot,"Config Parser"
196,243,47,engine_position,"Portfolio Bitmap Basics"
244,267,23,engine_position,"Portfolio P&L"
268,302,34,engine_position,"Position Consolidation"
303,367,64,engine_position,"Position Exit Gate"
368,389,21,engine_oms,"Exit Buffer Drain"
390,435,45,engine_oms,"Fill Consumption Timing"
436,482,46,engine_oms,"Pool Backpressure"
483,527,44,engine_oms,"Warmup Phase"
528,580,52,features,"Regression Feedback"
581,625,44,engine_position,"Trade Log"
626,679,53,engine_oms,"Branchless Verification"
680,734,54,engine_oms,"Max Shift Clamp"
735,773,38,engine_position,"Empty Portfolio Regression"
774,801,27,engine_position,"Tick Counter"
802,887,85,engine_oms,"Full Pipeline Integration"
888,947,59,features,"Stddev Offset Mode"
948,1002,54,features,"Stddev Adaptation Bounds"
1003,1052,49,features,"Multi-Timeframe Gate"
1053,1089,36,features,"Multi-Timeframe Disabled"
1090,1134,44,engine_oms,"Trailing TP Disabled"
1135,1192,57,engine_oms,"Trailing TP Activates"
1193,1245,52,engine_oms,"Trailing TP Ratchet"
1246,1296,50,engine_oms,"Original TP/SL at Fill"
1297,1398,101,engine_oms,"Slippage Simulation"
1399,1891,492,engine_position,"Max Positions"
1892,1951,59,features,"Volume Spike Detection"
1952,2008,56,features,"Momentum Fill TP/SL"
2009,2061,52,features,"Regime Switch Position Adjustment"
2062,2125,63,engine_oms,"Post-SL Cooldown"
2126,2149,23,engine_oms,"Exit Buffer Bounds"
2150,2170,20,engine_oms,"DrainExits Bounds Guard"
2171,2231,60,engine_oms,"Sell+Buy Same Tick"
2232,2245,13,engine_oms,"Malloc Guard"
2246,2302,56,features,"Regime Adjust: TRENDING_DOWN TP/SL"
2303,2341,38,features,"Regime Adjust: stddev=0 guard"
2342,2411,69,features,"Regime Adjust: SL floor all paths"
2412,2450,38,features,"REGIME MAPPING + CLASSIFICATION"
2451,2520,69,features,"SL FLOOR: MILD_TREND TRANSITIONS"
2521,2609,88,features,"DANGER GRADIENT"
2610,2636,26,features,"GATE OFFSET TRACKING"
2637,2660,23,engine_oms,"STRATEGY DISPATCH MODES"
2661,2860,199,engine_oms,"CENTRALIZED HALT FLAG"
2861,2904,43,engine_oms,"PUSHBUY GUARD"
2905,2969,64,engine_oms,"FPN EXIT GATE COMPARISON"
2970,3160,190,ml_inference,"BALANCE DRIFT"
