file	line	content	inside_fence	token	suggested_class	suggested_action	confidence
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/README.md	88	| `DESIGN_SPECS/framework-patterns/per-bit-per-core-override-pattern.md` | 3-first-canonical | framework-discipline, branchless-discipline, data-oriented-design | 3 |	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/README.md	110	| `DESIGN_SPECS/framework-patterns/type-erased-per-core-resource-handle-pattern.md` | 3-first-canonical | framework-discipline, concurrency, structural-fix | 2 |	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/TAG_INDEX.md	137	- `DESIGN_SPECS/framework-patterns/per-bit-per-core-override-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/TAG_INDEX.md	237	- `DESIGN_SPECS/framework-patterns/type-erased-per-core-resource-handle-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/TAG_INDEX.md	323	- `DESIGN_SPECS/framework-patterns/per-bit-per-core-override-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/TAG_INDEX.md	565	- `DESIGN_SPECS/framework-patterns/per-bit-per-core-override-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/TAG_INDEX.md	586	- `DESIGN_SPECS/framework-patterns/type-erased-per-core-resource-handle-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/TAG_INDEX.md	1316	- `DESIGN_SPECS/framework-patterns/type-erased-per-core-resource-handle-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/TAG_INDEX.md	1566	- `DESIGN_SPECS/framework-patterns/per-bit-per-core-override-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/TAG_INDEX.md	1628	- `DESIGN_SPECS/framework-patterns/per-bit-per-core-override-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/TAG_INDEX.md	1808	- `DESIGN_SPECS/framework-patterns/per-bit-per-core-override-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/TAG_INDEX.md	2145	- `DESIGN_SPECS/framework-patterns/type-erased-per-core-resource-handle-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/TAG_INDEX.md	2247	- `DESIGN_SPECS/framework-patterns/type-erased-per-core-resource-handle-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/audit-methodologies/characterization-test-discipline.md	38	- **Slippage book-price (paper/backtest-mode only).** The fill books at `tick ± slip` (entry `+`, exit `−`), NOT at `live_tp`: the production SSoT is the OMS submit chokepoint **`CoreFrameworks/OrderM	False	single_core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/concurrency-patterns/concurrency-model-summary.md	24	GLOBAL                          PER-CORE (N=2..16, default 4)	True	PER-CORE	code-fence-cite	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/concurrency-patterns/cross-thread-multiword-read-consistency-discipline.md	27	2. **The single-writer's published snapshot is the consistent-copy.** The drainer is the sole writer of the OMS money cluster (`balance`/`realized_pnl`/`total_fees`/`portfolio`/per-core P&L). It shoul	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/concurrency-patterns/cross-thread-multiword-read-consistency-discipline.md	36	- **Per-core MTM kill switch** (`EventLoop_RebuildOneCore`, `ControllerEventLoop.hpp:2881-2896`) — torn `core_realized` + `Position.entry_price/quantity` → wrong drawdown → false/missed per-core kill.	False	Per-core	narrative-current-state	RENAME	MED
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/concurrency-patterns/cross-thread-multiword-read-consistency-discipline.md	36	- **Per-core MTM kill switch** (`EventLoop_RebuildOneCore`, `ControllerEventLoop.hpp:2881-2896`) — torn `core_realized` + `Position.entry_price/quantity` → wrong drawdown → false/missed per-core kill.	False	per-core	narrative-current-state	RENAME	MED
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/concurrency-patterns/cross-thread-snapshot-publish-cluster-isolation.md	188	// Single-writer (per-core slow-path thread for this core's slot);	True	per-core	code-fence-cite	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/data-disciplines/decision-first-cluster-layout-pattern.md	105	ExecutionCore<F>* core;              // per-core pointer	True	per-core	code-fence-cite	LEAVE	HIGH
