file	line	content	inside_fence	token	suggested_class	suggested_action	confidence
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/README.md	61	| `DESIGN_SPECS/framework-patterns/per-bit-per-core-override-pattern.md` | 3-first-canonical | framework-discipline, branchless-discipline, data-oriented-design | 3 |	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/README.md	72	| `DESIGN_SPECS/framework-patterns/type-erased-per-core-resource-handle-pattern.md` | 3-first-canonical | framework-discipline, concurrency, structural-fix | 2 |	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/TAG_INDEX.md	47	- `DESIGN_SPECS/framework-patterns/per-bit-per-core-override-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/TAG_INDEX.md	72	- `DESIGN_SPECS/framework-patterns/type-erased-per-core-resource-handle-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/TAG_INDEX.md	97	- `DESIGN_SPECS/framework-patterns/per-bit-per-core-override-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/TAG_INDEX.md	184	- `DESIGN_SPECS/framework-patterns/per-bit-per-core-override-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/TAG_INDEX.md	195	- `DESIGN_SPECS/framework-patterns/type-erased-per-core-resource-handle-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/TAG_INDEX.md	362	- `DESIGN_SPECS/framework-patterns/type-erased-per-core-resource-handle-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/TAG_INDEX.md	432	- `DESIGN_SPECS/framework-patterns/per-bit-per-core-override-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/TAG_INDEX.md	452	- `DESIGN_SPECS/framework-patterns/per-bit-per-core-override-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/TAG_INDEX.md	516	- `DESIGN_SPECS/framework-patterns/per-bit-per-core-override-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/TAG_INDEX.md	630	- `DESIGN_SPECS/framework-patterns/type-erased-per-core-resource-handle-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/TAG_INDEX.md	680	- `DESIGN_SPECS/framework-patterns/type-erased-per-core-resource-handle-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/concurrency-patterns/concurrency-model-summary.md	24	GLOBAL                          PER-CORE (N=2..16, default 4)	True	PER-CORE	code-fence-cite	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/concurrency-patterns/cross-thread-snapshot-publish-cluster-isolation.md	188	// Single-writer (per-core slow-path thread for this core's slot);	True	per-core	code-fence-cite	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/data-disciplines/decision-first-cluster-layout-pattern.md	105	ExecutionCore<F>* core;              // per-core pointer	True	per-core	code-fence-cite	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/data-disciplines/hot-side-array-element-alignment-for-sparse-access.md	129	- **`CoreContext`** (v5.15.5.B.1) — per-core state struct iterated via active-core bitmap. `alignas(64)` applied during the .B.1 cluster reorg. Now retroactively documented as a v5.15.5.C.5-spec appli	False	per-core	ship-tag-citation	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/data-disciplines/partner-core-bitmap-pattern.md	8	sister_specs: [bitmap-flag-api.md, per-bit-per-core-override-pattern.md, transient-aggregation-bitmap-pattern.md]	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/data-disciplines/partner-core-bitmap-pattern.md	32	// ... per-core state ...	True	per-core	code-fence-cite	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/data-disciplines/partner-core-bitmap-pattern.md	48	// Per-core check:	True	Per-core	code-fence-cite	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/data-disciplines/partner-core-bitmap-pattern.md	69	### Option A: Keep per-CoreContext uint8_t (current state — pre-.G)	False	per-Core	narrative-current-state	RENAME	MED
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/data-disciplines/partner-core-bitmap-pattern.md	87	// Test (per-core):	True	per-core	code-fence-cite	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/data-disciplines/partner-core-bitmap-pattern.md	174	// Per-core check in the per-core slow-path:	True	Per-core	code-fence-cite	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/data-disciplines/partner-core-bitmap-pattern.md	174	// Per-core check in the per-core slow-path:	True	per-core	code-fence-cite	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/data-disciplines/partner-core-bitmap-pattern.md	219	### v5.14.9.G — first per-core bitmap migration	False	per-core	ship-tag-citation	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/data-disciplines/partner-core-bitmap-pattern.md	231	Any per-CoreContext boolean that's truly 1-bit:	False	per-Core	narrative-current-state	RENAME	MED
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/data-disciplines/partner-core-bitmap-pattern.md	237	These haven't been migrated yet; they're individual decisions per-field (some may benefit from per-CoreContext locality for the OWNING core's reads).	False	per-Core	narrative-current-state	RENAME	MED
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/data-disciplines/partner-core-bitmap-pattern.md	316	Per-node fields read by both the owning slow-path thread AND a GUI thread should stay per-CoreContext (owning core's L1 hit is preserved). Bitmap migration moves the field to EventLoopState — both thr	False	per-Core	narrative-current-state	RENAME	MED
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/doc-disciplines/file-size-split-discipline.md	230	#include "EngineSharded/SlowPath.hpp"  // per-core slow-path body	True	per-core	code-fence-cite	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/feature-patterns/runtime-toggleable-bench-gate-pattern.md	269	References: `partner-core-bitmap-pattern.md` + `per-bit-per-core-override-pattern.md`	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/feature-patterns/shadow-load-state-transition-pattern.md	179	**Used in:** v5.15.4 HotSwap (per-core slow-path thread is the sole	False	per-core	ship-tag-citation	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/framework-patterns/bitmap-flag-api.md	23	- Sister pattern: `per-bit-per-core-override-pattern.md` (per-bit per-node override on bitmap fields)	False	per-core	file-path-reference	LEAVE	HIGH
/home/caramel/code/tick-trader-percore-workspace/DESIGN_SPECS/framework-patterns/bitmap-flag-api.md	388	**See:** `per-bit-per-core-override-pattern.md` (full doc on this variant).	False	per-core	file-path-reference	LEAVE	HIGH
