section,live_line,backtest_line,function,helper_target,rationale_or_drift
# ============================================================================
# .B.4 Phase A Step A.4 — Per-core boot call sequence enumeration
# Engine HEAD: 64e7101 (Version.hpp 5.15.5.F.4d.1.B.3)
# Live ref:    /home/caramel/code/FoxML_Trader_v2/CoreFrameworks/EngineSharded.hpp
# Backtest:    /home/caramel/code/FoxML_Trader_v2/Backtest/BacktestSharded.hpp
# Boundary:    live boot region = EngineSharded.hpp:379-1383 (Run signature → LiveReadiness_Verify return)
#              backtest boot   = BacktestSharded.hpp:104-418 (Run signature → per-core loop close)
# Convention:  N/A = call not present; DRIFT = call present in only one side; STAYS_IN_CALLER per Decision G/B/M5
# ============================================================================
#
# ---- GLOBAL_PRE_LOOP : one-shot global init (BEFORE per-core boot loop) ----
GLOBAL_PRE_LOOP,384,N/A,g_engine_sharded_shutdown=0 + signal handlers (std::signal SIGINT/SIGTERM),STAYS_IN_CALLER,M5 false-positive surface — process-signal-handler install is LIVE-only by design (backtest single-threaded synchronous; no signal handler needed)
GLOBAL_PRE_LOOP,389,N/A,LatencyHistogram_Reset(BENCH gate),STAYS_IN_CALLER,LIVE-only build-time conditional (constexpr BENCH); backtest doesn't measure drainer latency
GLOBAL_PRE_LOOP,405,N/A,Health_LogConfigure,STAYS_IN_CALLER,LIVE-only — backtest writes via stderr; HealthLog disabled per hermetic semantics
GLOBAL_PRE_LOOP,426-457,N/A,risk_degradation_curve REFUSE gate (curve + composite_enabled cross-check),STAYS_IN_CALLER,LIVE-only boot REFUSE gate (refuse to start engine); backtest tolerates same cfg without REFUSE since no capital at risk. DEFER to TECH_DEBT or out of scope.
GLOBAL_PRE_LOOP,472-520,N/A,hardcoded_strategy boot guard (live REFUSE vs paper WARN),STAYS_IN_CALLER,LIVE-only — gated on cfg.use_real_money + acknowledge_hardcoded_strategy_in_live. Backtest doesn't have these semantics.
GLOBAL_PRE_LOOP,525 (static),N/A,BinanceStream bs declaration,STAYS_IN_CALLER,Decision G static-scope discipline — function-scope static; thread-shared semantics (producer reads bs)
GLOBAL_PRE_LOOP,530,N/A,BinanceStream_Init,STAYS_IN_CALLER,LIVE-only — backtest doesn't init Binance WS; reads HistoricalTick CSVs instead
