section,live_line,helper_target_or_stays_in_caller,function_or_variable,classification_rationale,signature_arg_needed
# ============================================================================
# .B.4 Phase B Step B.3 — Per-core slow-path lambda body enumeration
# Engine HEAD: 64e7101 (Version.hpp 5.15.5.F.4d.1.B.3)
# Live ref:    /home/caramel/code/FoxML_Trader_v2/CoreFrameworks/EngineSharded.hpp
# Lambda capture list (line :2751-2753):
#   [c, sp_cpu, &state, &oms, &cores, &cfg, &ticks_produced, &last_price, &last_volume, &paper_reset_in_progress]
# Lambda body span: :2754-:3313 (cycle work :3044-:3311 — body to extract; pre-cycle prelude :2754-:3043 stays in caller)
# Boundary:    extracted body = LIVE :3044-:3311 (post #endif from USE_IMGUI_GUI hot-swap block)
# Convention:  STAYS_IN_CALLER per Decision G/B/M5; HELPER_ARG = lambda capture/local needed as signature arg
# ============================================================================
#
# ---- PRELUDE (stays in caller; the per_core_slow thread body) ----
PRELUDE,2754-2758,STAYS_IN_CALLER,EngineSharded_PinThread(sp_cpu),M5 threading observability — LIVE-only thread pinning,N/A
PRELUDE,2762-2765,STAYS_IN_CALLER,ControllerConfig_ResolveForCore(cfg c) -> slow_path_interval,Per-core poll interval resolution — read at thread start NOT per-cycle; LIVE-only (backtest uses cfg.poll_interval globally),N/A
PRELUDE,2766-2772,STAYS_IN_CALLER,fprintf debug log (slow-path-N poll_interval log),M5 threading observability — LIVE-only stderr,N/A
PRELUDE,2776-2780,STAYS_IN_CALLER,CoreLatencyStats_Enable(slow_path_latency + breakdown[SP_SECTION_COUNT]),M5 threading observability — LIVE-only (rdtsc latency display; backtest single-thread),N/A
PRELUDE,2781,STAYS_IN_CALLER,uint64_t last_seen_tick = 0,LIVE-only loop-local; thread-scope variable for cadence gate (only used in caller while-loop),N/A
#
# ---- PER_CYCLE_PRELUDE (stays in caller; per-cycle preconditions BEFORE body) ----
PER_CYCLE_PRELUDE,2785-2791,STAYS_IN_CALLER,USE_IMGUI_GUI gated: g_shared.paused_engines_mask & (1<<c) -> yield,Decision G — LIVE-only static (g_shared); thread-pause coordination,N/A
PER_CYCLE_PRELUDE,2793-2798,STAYS_IN_CALLER,paper_reset_in_progress.load() -> yield,Lambda capture LIVE-only atomic; thread-coordination for paper reset,N/A
PER_CYCLE_PRELUDE,2800-2807,STAYS_IN_CALLER,now_tick = ticks_produced.load() + cadence gate (now_tick - last_seen_tick < slow_path_interval),Lambda capture + thread-loop cadence; cycle entry timing,N/A
PER_CYCLE_PRELUDE,2808,STAYS_IN_CALLER,sp_telemetry.state.store(0 RELAXED),M5 threading observability — LIVE-only (per-thread state-machine display),N/A
PER_CYCLE_PRELUDE,2812-2816,STAYS_IN_CALLER,_sp_t0 = __rdtsc() + _sec_t_other_start = _sp_t0,M5 threading observability — LIVE-only (rdtsc bracketing for latency stats),N/A
PER_CYCLE_PRELUDE,2822,STAYS_IN_CALLER,if (state.cores[c].strategy_id == STRATEGY_NONE) continue,LIVE-only early-exit; backtest centralized arch never iterates STRATEGY_NONE cores at this layer — runs through SlowPathCycleAllCores wrapper which can skip,N/A
PER_CYCLE_PRELUDE,2828-3042,STAYS_IN_CALLER,USE_IMGUI_GUI gated: per-core swap-pending pickup (strategy hot-swap + model hot-swap shadow-load + validators),Decision G LIVE-only (g_shared.swap_strategy_requested + g_shared.swap_model_path_requested statics); HotSwap_ShadowLoad_{Ensemble,SingleZoo}; LIVE-only hot-swap mechanism not present in backtest,N/A
#
# ============================================================================
# === HELPER BODY: EngineCommon_SlowPathCycleOneCore (LIVE :3044-:3311) ===
# === ALL ROWS BELOW THIS LINE MIGRATE INTO THE HELPER ===
# ============================================================================
#
# ---- M2.B AUTOPOPULATE_ENGINE_WIDE (NEW per v1.7 amendment; closes PARITY-032 + caches MASK_BREAKEVEN_ON_PROFIT) ----
HELPER_NEW,N/A (new entry-point),HELPER,SLOW_PATH_GATE_AUTOPOPULATE_ENGINE_WIDE(state.global_gate_state cfg),M2.B amendment — must fire at helper entry to cache MASK_BREAKEVEN_ON_PROFIT bit BEFORE breakeven body call; sister to existing :2335 + :3555 invocation pattern; uses ENGINE_WIDE scope (state.global_gate_state NOT state.cores[c].gate_state per v1.7.1 D1-B CRITICAL fix),N/A (uses cfg + state args)
#
# ---- BODY SECTION 1: Read shared market state (depth snapshot) ----
HELPER_BODY,3044-3049,HELPER,Comment block (Read shared market state semantic),Migrate comments to preserve operator voice,N/A
HELPER_BODY,3050-3051,HELPER,FPN<F> book_imb + double book_spread_d + double book_mid_d (local vars init Zero),Local arithmetic — initialized to FPN_Zero/0.0,N/A (local)
HELPER_BODY,3052-3058,HELPER + STAY_IN_CALLER(g_depth_shared),"if (BITMAP_IS_SET(cfg.gate_cfg_flags MASK_GATE_CFG_DEPTH_ENABLED)) { read g_depth_shared.snapshots[active] }",CRITICAL FINDING — g_depth_shared is LIVE-only function-scope static (EngineSharded.hpp:835); BackTest uses DepthReplayState (CSV-driven) which differs entirely. Helper signature MUST accept a DepthSnapshot bundle from caller to abstract over LIVE-static vs BACKTEST-DepthReplayState source.,book_imb + book_spread_d + book_mid_d (or DepthSnapshot bundle)
